dia,precio de cierre
0,691.0
1,708.4
2,697.35
3,700.91
4,706.46
5,695.85
6,699.56
7,705.75
8,705.07
9,697.77
10,718.81
11,718.85
12,712.42
13,710.89
14,695.16
15,693.97
16,705.24
17,712.82
18,726.82
19,730.49
20,728.33
21,736.09
22,737.78
23,737.6
24,742.09
25,740.75
26,738.06
27,735.3
28,733.53
29,744.77
30,750.53
31,744.95
32,749.91
33,745.29
34,737.8
35,745.69
36,740.28
37,739.15
38,736.1
39,743.09
40,751.72
41,753.2
42,759.0
43,766.61
44,753.93
45,752.67
46,759.14
47,718.77
48,723.15
49,708.14
50,705.84
51,691.02
52,693.01
53,698.21
54,692.36
55,695.7
56,701.43
57,711.12
58,712.9
59,723.18
60,715.29
61,713.31
62,710.83
63,716.49
64,706.23
65,706.63
66,700.32
67,709.74
68,704.24
69,720.09
70,725.27
71,724.12
72,732.66
73,735.72
74,734.15
75,730.4
76,722.34
77,716.55
78,716.65
79,728.28
80,728.58
81,719.41
82,718.36
83,718.27
84,718.92
85,710.36
86,691.72
87,693.71
88,695.94
89,697.46
90,701.87
91,675.22
92,668.26
93,680.04
94,684.11
95,692.1
96,699.21
97,694.49
98,697.77
99,695.36
100,705.63
101,715.09
102,720.64
103,716.98
104,720.95
105,719.85
106,733.78
107,736.96
108,741.19
109,738.63
110,742.74
111,739.77
112,738.42
113,741.77
114,745.91
115,768.79
116,772.88
117,771.07
118,773.18
119,771.61
120,782.22
121,781.76
122,784.26
123,784.68
124,784.85
125,783.22
126,782.44
127,777.14
128,779.91
129,777.5
130,775.42
131,772.15
132,772.08
133,769.64
134,769.41
135,769.54
136,772.15
137,769.09
138,767.05
139,768.78
140,771.46
141,780.08
142,780.35
143,775.32
144,759.66
145,769.02
146,759.69
147,762.49
148,771.76
149,768.88
150,765.7
151,771.41
152,776.22
153,787.21
154,786.9
155,774.21
156,783.01
157,781.56
158,775.01
159,777.29
160,772.56
161,776.43
162,776.47
163,776.86
164,775.08
165,785.94
166,783.07
167,786.14
168,778.19
169,778.53
170,779.96
171,795.26
172,801.56
173,796.97
174,799.37
175,813.11
176,807.67
177,799.07
178,795.35
179,795.37
180,784.54
181,783.61
182,768.7
183,762.13
184,762.02
185,782.52
186,790.51
187,785.31
188,762.56
189,754.02
190,736.08
191,758.49
192,764.48
193,771.23
194,760.54
195,769.2
196,768.27
197,760.99
198,761.68
199,768.24
200,770.84
201,758.04
202,747.92
203,750.5
204,762.52
205,759.11
206,771.19
207,776.42
208,789.29
209,789.27
210,796.1
211,797.07
212,797.85
213,790.8
214,794.2
215,796.42
216,794.56
217,791.26
218,789.91
219,791.55
220,785.05
221,782.79
222,771.82
223,786.14
224,786.9
225,794.02
226,806.15
227,806.65
228,804.79
229,807.91
230,806.36
231,807.88
232,804.61
233,806.07
234,802.175
235,805.02
236,819.31
237,823.87
238,835.67
239,832.15
240,823.31
241,802.32
242,796.79
243,795.695
244,798.53
245,801.49
246,801.34
247,806.97
248,808.38
249,809.56
250,813.67
251,819.24
252,820.45
253,818.98
254,824.16
255,828.07
256,831.66
257,830.76
258,831.33
259,828.64
260,829.28
261,823.21
262,835.24
263,830.63
264,829.08
265,827.78
266,831.91
267,835.37
268,838.68
269,843.25
270,845.54
271,845.62
272,847.2
273,848.78
274,852.12
275,848.4
276,830.46
277,829.59
278,817.58
279,814.43
280,819.51
281,820.92
282,831.41
283,831.5
284,829.56
285,838.55
286,834.57
287,831.41
288,827.88
289,824.67
290,824.73
291,823.35
292,824.32
293,823.56
294,837.17
295,836.82
296,838.21
297,841.65
298,843.19
299,862.76
300,872.3
301,871.73
302,874.25
303,905.96
304,912.57
305,916.44
306,927.04
307,931.66
308,927.13
309,934.3
310,932.17
311,928.78
312,930.6
313,932.22
314,937.08
315,943.0
316,919.62
317,930.24
318,934.01
319,941.86
320,948.82
321,954.96
322,969.54
323,971.47
324,975.88
325,964.86
326,966.95
327,975.6
328,983.68
329,976.57
330,980.94
331,983.41
332,949.83
333,942.9
334,953.4
335,950.76
336,942.31
337,939.78
338,957.37
339,950.63
340,959.45
341,957.09
342,965.59
343,952.27
344,927.33
345,940.49
346,917.79
347,908.73
348,898.7
349,911.71
350,906.69
351,918.59
352,928.8
353,930.09
354,943.83
355,947.16
356,955.99
357,953.42
358,965.4
359,970.89
360,968.15
361,972.92
362,980.34
363,950.7
364,947.8
365,934.09
366,941.53
367,930.5
368,930.83
369,930.39
370,923.65
371,927.96
372,929.36
373,926.79
374,922.9
375,907.24
376,914.39
377,922.67
378,922.22
379,926.96
380,910.98
381,910.67
382,906.66
383,924.69
384,927.0
385,921.28
386,915.89
387,913.81
388,921.29
389,929.57
390,939.33
391,937.34
392,928.45
393,927.81
394,935.95
395,926.5
396,929.08
397,932.07
398,935.09
399,925.11
400,920.29
401,915.0
402,921.81
403,931.58
404,932.45
405,928.53
406,920.97
407,924.86
408,944.49
409,949.5
410,959.11
411,953.27
412,957.79
413,951.68
414,969.96
415,978.89
416,977.0
417,972.6
418,989.25
419,987.83
420,989.68
421,992.0
422,992.18
423,992.81
424,984.45
425,988.2
426,968.45
427,970.54
428,973.33
429,972.56
430,1019.27
431,1017.11
432,1016.64
433,1025.5
434,1025.58
435,1032.48
436,1025.9
437,1033.33
438,1039.85
439,1031.26
440,1028.07
441,1025.75
442,1026.0
443,1020.91
444,1032.5
445,1019.09
446,1018.38
447,1034.49
448,1035.96
449,1040.61
450,1054.21
451,1047.41
452,1021.66
453,1021.41
454,1010.17
455,998.68
456,1005.15
457,1018.38
458,1030.93
459,1037.05
460,1041.1
461,1040.48
462,1040.61
463,1049.15
464,1064.19
465,1077.14
466,1070.68
467,1064.95
468,1063.63
469,1060.12
470,1056.74
471,1049.37
472,1048.14
473,1046.4
474,1065.0
475,1082.48
476,1086.4
477,1102.23
478,1106.94
479,1106.26
480,1102.61
481,1105.52
482,1122.26
483,1121.76
484,1131.98
485,1129.79
486,1137.51
487,1155.81
488,1169.97
489,1164.24
490,1170.37
491,1175.84
492,1175.58
493,1163.69
494,1169.94
495,1167.7
496,1111.9
497,1055.8
498,1080.6
499,1048.58
500,1001.52
501,1037.78
502,1051.94
503,1052.1
504,1069.7
505,1089.52
506,1094.8
507,1102.46
508,1111.34
509,1106.63
510,1126.79
511,1143.75
512,1118.29
513,1104.73
514,1069.52
515,1078.92
516,1090.93
517,1095.06
518,1109.64
519,1126.0
520,1160.04
521,1164.5
522,1138.17
523,1149.49
524,1149.58
525,1135.73
526,1099.82
527,1097.71
528,1090.88
529,1049.08
530,1021.57
531,1053.21
532,1005.1
533,1004.56
534,1031.79
535,1006.47
536,1013.41
537,1025.14
538,1027.81
539,1007.04
540,1015.45
541,1031.64
542,1019.97
543,1032.51
544,1029.27
545,1037.98
546,1074.16
547,1072.08
548,1087.7
549,1072.96
550,1067.45
551,1019.98
552,1021.18
553,1040.04
554,1030.05
555,1017.33
556,1037.31
557,1024.38
558,1023.72
559,1048.21
560,1054.79
561,1053.91
562,1082.76
563,1097.57
564,1098.26
565,1100.2
566,1079.23
567,1081.77
568,1078.59
569,1066.36
570,1079.58
571,1069.73
572,1079.69
573,1079.24
574,1075.66
575,1060.32
576,1067.8
577,1084.99
578,1119.5
579,1139.29
580,1139.66
581,1136.88
582,1123.86
583,1120.87
584,1129.99
585,1139.32
586,1134.79
587,1152.12
588,1152.26
589,1173.46
590,1168.06
591,1169.84
592,1157.66
593,1155.48
594,1124.81
595,1118.46
596,1103.98
597,1114.22
598,1115.65
599,1127.46
600,1102.89
601,1124.27
602,1140.17
603,1154.05
604,1152.84
605,1153.9
606,1183.48
607,1188.82
608,1183.86
609,1198.8
610,1195.88
611,1186.96
612,1184.91
613,1205.5
614,1248.08
615,1263.7
616,1268.33
617,1238.5
618,1219.74
619,1217.26
620,1220.01
621,1226.15
622,1223.71
623,1224.77
624,1242.22
625,1245.61
626,1249.1
627,1237.61
628,1235.01
629,1242.1
630,1214.38
631,1206.49
